LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Anchorage, AK","$3,062,500",Economic And Workforce Development,Workforce Development,"Supports the Fast Track Career Certificate Program at the University of AlaskaAnchorage, which offers shortterm, job-oriented certificates requiring 16-19 credits over 2- 3 semesters. This funding is offered to those who are unemployed and on re-training and skill upgrades.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage,AK
"Anchorage, AK","$200,000",Economic And Workforce Development,Youth Workforce Development,"Provides funding to AWP for recruitment and retention specialists to work with local high schools and non‐ traditional hiring locations to provide basic skills training, industry education, and career coaching to Anchorage community members who are interested in a career in Alaska's construction, oil, gas, mining, transportation and maritime industries to ensure Alaska’s workforce is ready with the American Jobs Plan",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage,AK
"Anchorage, AK","$150,000",Government Operations Investments,Government Employee Wages Or Hiring,Funds 2 seasonal positions to coordinate seasonal activities dedicated to providing diverse and targeted programing in our parks and trails for underserved communities,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$160,000",Government Operations Investments,Government Employee Wages Or Hiring,Funds will provide the i-Team with a Full-Time staff member dedicated to helping families access federal benefits/relief funding,Negative Economic Impacts,Household Assistance: Internet Access Programs,Anchorage,AK
"Anchorage, AK","$3,500,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Beetle Kill Mitigation Program in Anchorage and Eagle River / Chugiak, Alaska Includes expanding the MOA Tree Crew and procurement of equipment and contracted Tree Crews for beetle kill removal",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$2,500,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Funding made available for facility safety and code upgrades at the Anchorage Health Department to include replacement of the original antiquated boilers to include; engineering, ab",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$2,543,418",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Funding made available to MOA Maintenance & Operations for replacement of existing fleet inventory and have met their useful lives. Vehicles used beyond their useful lives can experience frequent down time and high maintenance costs if not replaced in a timely fashion. This would include replacement for APD, General Government, and Heavy Equipment",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$500,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT","Municipality of Anchorage Development Services Funds Rhythm for Civics online customer portal cashiering module, software, and professional services contracts to minimize in-person interactions for permitting services and provide customers with a seamless application and payment process",Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$40,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Purchase of 100 MiFi's that will provide access to low-income customers without technology through 2022 for the MOA Libraru,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$45,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",Purchase of COVID-aware workstations that allow workers to return to public offices at the Chugiak-Eagle River Library.,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$25,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",The Library experienced a significant rise in demand for digital materials during the COVID-19 closures.,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$800,000",Government Operations Investments,Other Government Investment,Provides Parks & Recreation Permit Fee Relief for Partners,Revenue Replacement,Provision of Government Services,Anchorage,AK
"Anchorage, AK","$300,000",Housing,Homelessness,"Funding for Shiloh Community Housing, Inc. to provide accessible, affordable, and quality housing for young adults 16-24 years of age. Funding will support their transitional housing program for young adults experiencing homelessness who also experience employment barriers",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Anchorage,AK
"Anchorage, AK","$500,000",Housing,Homelessness,"Funding to Choosing our Roots to acquire a multi-unit dwelling, which would be used to temporarily house youth participants (ages 18-24) awaiting host home placement",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Anchorage,AK
"Anchorage, AK","$1,623,165",Housing,Homelessness,"Funding to the House of Transformations to provide housing, addiction treatment, vocational and apprenticeship training, and other wrap around services for persons experiencing homelessness.",Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Anchorage,AK
"Anchorage, AK","$225,000",Housing,Homelessness,Supports the rapid rehousing efforts to transition the increase of homeless youth out of the Covenant House Alaska emergency shelter and into more stable permanent housing during the COVID-19 pandemic,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Anchorage,AK
"Anchorage, AK","$44,000",Infrastructure,Broadband,"Provides broadband capacity infrastructure and internet services to allow for installation of security cameras and improve internet access for residents, staff, members and guests at the ChugiakEagle River Senior Center",Infrastructure,Broadband: Other projects,Anchorage,AK
